regulator	target_candidate	ortholog_module_status	ME	PE
BSU17850	BSU01820	1	0	0
BSU17850	BSU01830	0	0	0
BSU17850	BSU01845	0	0	0
BSU17850	BSU01860	0	0	0
BSU17850	BSU01870	0	0	0
BSU17850	BSU01880	0	0	0
BSU17850	BSU01889	0	0	0
BSU17850	BSU01890	0	0	0
BSU17850	BSU01900	0	0	0
BSU17850	BSU01910	0	0	0
BSU17850	BSU01920	0	0	0
BSU17850	BSU01935	0	0	0
BSU17850	BSU01950	0	0	0
BSU17850	BSU01960	0	0	0
BSU17850	BSU01970	0	0	0
BSU17850	BSU01980	0	0	0
BSU17850	BSU01990	0	0	0
BSU17850	BSU02000	0	0	0
BSU17850	BSU02010	0	0	0
BSU17850	BSU02019	0	0	0
BSU17850	BSU02030	0	0	0
BSU17850	BSU02040	0	0	0
BSU17850	BSU02050	0	0	0
BSU17850	BSU02060	0	0	0
BSU17850	BSU02070	0	0	0
BSU17850	BSU02080	0	0	0
BSU17850	BSU02090	0	0	0
BSU17850	BSU02100	0	0	0
BSU17850	BSU02110	0	0	0
BSU17850	BSU02120	0	0	0
BSU17850	BSU02130	0	0	0
BSU17850	BSU02140	1	0	0
BSU17850	BSU02150	0	0	0
BSU17850	BSU02160	0	0	0
BSU17850	BSU02170	0	0	0
BSU17850	BSU02180	0	0	0
BSU17850	BSU02190	0	0	0
BSU17850	BSU02200	0	0	0
BSU17850	BSU02210	0	0	0
BSU17850	BSU02220	0	0	0
BSU17850	BSU02230	0	0	0
BSU17850	BSU02240	0	0	0
BSU17850	BSU02250	0	0	0
BSU17850	BSU02260	0	0	0
BSU17850	BSU02270	0	0	0
BSU17850	BSU02280	0	0	0
BSU17850	BSU02290	0	0	0
BSU17850	BSU02300	0	0	0
BSU17850	BSU02310	0	0	0
BSU17850	BSU02320	0	0	0
BSU17850	BSU02330	1	0	0
BSU17850	BSU02340	0	0	0
BSU17850	BSU02350	0	0	0
BSU17850	BSU02360	1	0	0
BSU17850	BSU02370	0	0	0
BSU17850	BSU02380	1	0	0
BSU17850	BSU02390	1	0	0
BSU17850	BSU02400	1	0	0
BSU17850	BSU02410	0	0	0
BSU17850	BSU02420	0	0	0
BSU17850	BSU02430	0	0	0
BSU17850	BSU02440	0	0	0
BSU17850	BSU02450	0	0	0
BSU17850	BSU02460	0	0	0
BSU17850	BSU02470	0	0	0
BSU17850	BSU02480	1	0	0
BSU17850	BSU02490	0	0	0
BSU17850	BSU02500	1	0	0
BSU17850	BSU02510	0	0	0
BSU17850	BSU02520	0	0	0
BSU17850	BSU02530	0	0	0
BSU17850	BSU02540	0	0	0
BSU17850	BSU02550	0	0	0
BSU17850	BSU02560	0	0	0
BSU17850	BSU02570	0	0	0
BSU17850	BSU02580	0	0	0
BSU17850	BSU02590	0	0	0
BSU17850	BSU02600	0	0	0
BSU17850	BSU02610	0	0	0
BSU17850	BSU02619	0	0	0
BSU17850	BSU02620	0	0	0
BSU17850	BSU02630	0	0	0
BSU17850	BSU02640	0	0	0
BSU17850	BSU02650	0	0	0
BSU17850	BSU02660	0	0	0
BSU17850	BSU02670	1	0	0
BSU17850	BSU02680	1	0	0
BSU17850	BSU02690	1	0	0
BSU17850	BSU02700	0	0	0
BSU17850	BSU02710	0	0	0
BSU17850	BSU02720	0	0	0
BSU17850	BSU02730	0	0	0
BSU17850	BSU02740	0	0	0
BSU17850	BSU02750	0	0	0
BSU17850	BSU02760	0	0	0
BSU17850	BSU02770	1	0	0
BSU17850	BSU02780	0	0	0
BSU17850	BSU02790	0	0	0
BSU17850	BSU02800	0	0	0
BSU17850	BSU02810	1	0	0
BSU17850	BSU02820	0	0	0
BSU17850	BSU02830	0	0	0
BSU17850	BSU02840	0	0	0
BSU17850	BSU02850	1	0	0
BSU17850	BSU02860	1	0	0
BSU17850	BSU02870	1	0	0
BSU17850	BSU02880	0	0	0
BSU17850	BSU02890	0	0	0
BSU17850	BSU02900	0	0	0
BSU17850	BSU02910	0	0	0
BSU17850	BSU02920	0	0	0
BSU17850	BSU02930	0	0	0
BSU17850	BSU02940	0	0	0
BSU17850	BSU02950	0	0	0
BSU17850	BSU02960	0	0	0
BSU17850	BSU02970	0	0	0
BSU17850	BSU02980	1	0	0
BSU17850	BSU02990	1	0	0
BSU17850	BSU03000	1	0	0
BSU17850	BSU03010	0	0	0
BSU17850	BSU03020	0	0	0
BSU17850	BSU03030	0	0	0
BSU17850	BSU03040	0	0	0
BSU17850	BSU03050	1	0	0
BSU17850	BSU03060	0	0	0
BSU17850	BSU03070	1	0	0
BSU17850	BSU03080	0	0	0
BSU17850	BSU03090	0	0	0
BSU17850	BSU03100	0	0	0
BSU17850	BSU03110	0	0	0
BSU17850	BSU03120	0	0	0
BSU17850	BSU03130	1	0	0
BSU17850	BSU03140	0	0	0
BSU17850	BSU03150	1	0	0
BSU17850	BSU03160	0	0	0
BSU17850	BSU03170	0	0	0
BSU17850	BSU03180	0	0	0
BSU17850	BSU03190	0	0	0
BSU17850	BSU03200	0	0	0
BSU17850	BSU03210	0	0	0
BSU17850	BSU03220	0	0	0
BSU17850	BSU03230	0	0	0
BSU17850	BSU03240	1	0	0
BSU17850	BSU03250	1	0	0
BSU17850	BSU03260	0	0	0
BSU17850	BSU03270	1	0	0
BSU17850	BSU03280	1	0	0
BSU17850	BSU03290	0	0	0
BSU17850	BSU03300	0	0	0
BSU17850	BSU03310	0	0	0
BSU17850	BSU03320	0	0	0
BSU17850	BSU03330	0	0	0
BSU17850	BSU03340	0	0	0
BSU17850	BSU03350	0	0	0
BSU17850	BSU03359	0	0	0
BSU17850	BSU03360	0	0	0
BSU17850	BSU03370	1	0	0
BSU17850	BSU03380	0	0	0
BSU17850	BSU03390	0	0	0
BSU17850	BSU03400	0	0	0
BSU17850	BSU03410	1	0	0
BSU17850	BSU03420	0	0	0
BSU17850	BSU03430	0	0	0
BSU17850	BSU03440	1	0	0
BSU17850	BSU03450	0	0	0
BSU17850	BSU03460	0	0	0
BSU17850	BSU03470	0	0	0
BSU17850	BSU03480	0	0	0
BSU17850	BSU03490	0	0	0
BSU17850	BSU03500	0	0	0
BSU17850	BSU03510	0	0	0
BSU17850	BSU03520	0	0	0
BSU17850	BSU03530	0	0	0
BSU17850	BSU03540	0	0	0
BSU17850	BSU03550	0	0	0
BSU17850	BSU03560	0	0	0
BSU17850	BSU03580	0	0	0
BSU17850	BSU03590	0	0	0
BSU17850	BSU03600	0	0	0
BSU17850	BSU03610	0	0	0
BSU17850	BSU03620	0	0	0
BSU17850	BSU03630	0	0	0
BSU17850	BSU03640	0	0	0
BSU17850	BSU03651	0	0	0
BSU17850	BSU03652	0	0	0
BSU17850	BSU03660	0	0	0
BSU17850	BSU03670	1	0	0
BSU17850	BSU03680	0	0	0
BSU17850	BSU03690	0	0	0
BSU17850	BSU03700	0	0	0
BSU17850	BSU03710	0	0	0
BSU17850	BSU03720	0	0	0
BSU17850	BSU03730	1	0	0
BSU17850	BSU03740	1	0	0
BSU17850	BSU03750	1	0	0
BSU17850	BSU03760	1	0	0
BSU17850	BSU03770	0	0	0
BSU17850	BSU03780	0	0	0
BSU17850	BSU03789	0	0	0
BSU17850	BSU03790	1	0	0
BSU17850	BSU03800	0	0	0
BSU17850	BSU03810	0	0	0
BSU17850	BSU03820	0	0	0
BSU17850	BSU03830	1	0	0
BSU17850	BSU03840	1	0	0
BSU17850	BSU03850	1	0	0
BSU17850	BSU03860	1	0	0
BSU17850	BSU03870	1	0	0
BSU17850	BSU03880	1	0	0
BSU17850	BSU03890	0	0	0
BSU17850	BSU03900	0	0	0
BSU17850	BSU03910	1	0	0
BSU17850	BSU03920	1	0	0
BSU17850	BSU03930	1	0	0
BSU17850	BSU03940	1	0	0
BSU17850	BSU03950	1	0	0
BSU17850	BSU03960	0	0	0
BSU17850	BSU03970	0	0	0
BSU17850	BSU03981	1	0	0
BSU17850	BSU03982	1	0	0
BSU17850	BSU03990	0	0	0
BSU17850	BSU04000	0	0	0
BSU17850	BSU04010	1	0	0
BSU17850	BSU04020	0	0	0
BSU17850	BSU04030	0	0	0
